12	Codex Language Specification — Version 1.0.0	All normative requirements for Codex 1.0.0 MUST appear exactly once in this document.
50	Codex Language Specification — Version 1.0.0 > 1. Front Matter > 1.3 Normativity and Conformance	This document uses the capitalized keywords **MUST** and **MUST NOT** to indicate requirements.
52	Codex Language Specification — Version 1.0.0 > 1. Front Matter > 1.3 Normativity and Conformance	Any statement that uses **MUST** or **MUST NOT** is normative.
60	Codex Language Specification — Version 1.0.0 > 1. Front Matter > 1.3 Normativity and Conformance	All statements that do not use **MUST** or **MUST NOT** are informative.
72	Codex Language Specification — Version 1.0.0 > 1. Front Matter > 1.3 Normativity and Conformance > 1.3.1 Consistency Guarantee	If an implementer discovers an apparent conflict between any parts of this specification or between this specification and the bootstrap schemas, that conflict is a defect. Implementers MUST NOT guess which source prevails. Implementers MUST report the defect.
82	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.1 Declarative and Closed-World Model	A conforming implementation MUST treat something not explicitly declared as not present.
84	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.1 Declarative and Closed-World Model	An implementation MUST NOT infer meaning from omission, shape, or other non-specified cues.
86	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.1 Declarative and Closed-World Model	An implementation MUST NOT assume defaults unless explicitly defined by this specification or by the governing schema.
88	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.1 Declarative and Closed-World Model	Structural ordering carries no semantic meaning to Codex itself. Trait order in canonical form is alphabetical by Trait name (§10.4); implementations MUST NOT treat Trait order as semantically significant. For children and collection elements, schemas define whether ordering is semantically significant (§11.3). Implementations MUST preserve the ordering of children and collection elements both for round-trippability (see §2.6) and to support schema-defined ordering constraints.
92	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.2 Determinism and Explainability	Given the same inputs, all conforming implementations MUST produce identical results.
103	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.2 Determinism and Explainability	- Parsing MUST be deterministic.
104	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.2 Determinism and Explainability	- Well-formedness checking MUST be deterministic.
105	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.2 Determinism and Explainability	- Schema validation MUST be deterministic.
106	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.2 Determinism and Explainability	- Canonicalization MUST be deterministic.
108	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.2 Determinism and Explainability	An implementation MUST NOT exhibit non-deterministic or heuristic behavior.
110	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.2 Determinism and Explainability	For any well-formedness, schema validation, or canonicalization result, an implementation MUST be able to attribute the result to:
127	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.3 Separation of Responsibility	- Parsing MUST determine only the syntactic structure of the document.
128	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.3 Separation of Responsibility	- Formatting and canonicalization MUST be mechanical and MUST NOT perform schema validation.
129	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.3 Separation of Responsibility	- Semantic validation MUST evaluate schema rules (including content-mode interpretation, constraints, value types, identity, and references) and MUST NOT be performed implicitly during parsing.
135	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.4 Target Agnosticism	Codex constructs and Codex-conforming tool behavior MUST NOT assume or require any particular target format, runtime, storage backend, inference system, rendering model, or execution semantics.
146	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.5 Well-Formedness and Validity	* A conforming implementation MUST be able to parse and check well-formedness without a governing schema.
147	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.5 Well-Formedness and Validity	* A conforming implementation MUST NOT perform schema validation without an explicit governing schema.
153	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.5 Well-Formedness and Validity	The bootstrap schema-of-schemas provides a built-in governing schema only for schema documents (§12.3) and MUST NOT be used as a fallback governing schema for instance documents.
161	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.6 Round-Trippability	A conforming implementation MUST support round-tripping: a canonicalized Codex document, after transformation to RDF triples, storage, retrieval via SPARQL, and reconstruction, MUST produce a byte-identical canonicalized document.
163	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.6 Round-Trippability	This invariant ensures that Codex serves as a lossless serialization format for RDF data. Structural ordering, annotations, and all surface-form details MUST survive the round-trip. The round-trip guarantee is achieved through the triple store projection alone, with no sidecar artifacts required.
165	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.6 Round-Trippability	To guarantee round-trippability, a conforming implementation MUST provide the following capabilities:
173	Codex Language Specification — Version 1.0.0 > 2. Language Invariants > 2.6 Round-Trippability	These capabilities MUST compose such that: for any valid input, canonicalizing the reconstructed output produces a byte-identical result to canonicalizing the original input.
183	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.1 Concept	A Concept instance MUST have exactly one Concept name.
185	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.1 Concept	A Concept instance MUST declare zero or more Traits.
187	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.1 Concept	A Concept instance MUST be in exactly one of two body modes:
196	Codex Language Specification — Version 1.0.0 > 3. Core Model > 3.2 Trait	A Trait instance MUST be declared on exactly one containing Concept instance.
