group	start_line	end_line	shape	target_classes	closed	ignored_properties	property_shape_count	sparql_constraint_count
AllOf	11	213	urn:codex:bootstrap:1.0.0#AllOf#shape	urn:codex:bootstrap:1.0.0#AllOf	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
AllowedValues	214	515	urn:codex:bootstrap:1.0.0#AllowedValues#shape	urn:codex:bootstrap:1.0.0#AllowedValues	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
AllowsChildConcept	516	807	urn:codex:bootstrap:1.0.0#AllowsChildConcept#shape	urn:codex:bootstrap:1.0.0#AllowsChildConcept	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
AllowsContent	808	1041	urn:codex:bootstrap:1.0.0#AllowsContent#shape	urn:codex:bootstrap:1.0.0#AllowsContent	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
AllowsTrait	1042	1275	urn:codex:bootstrap:1.0.0#AllowsTrait#shape	urn:codex:bootstrap:1.0.0#AllowsTrait	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
AnyOf	1276	1478	urn:codex:bootstrap:1.0.0#AnyOf#shape	urn:codex:bootstrap:1.0.0#AnyOf	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ChildConstraint	1479	1762	urn:codex:bootstrap:1.0.0#ChildConstraint#shape	urn:codex:bootstrap:1.0.0#ChildConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ChildPath	1763	1972	urn:codex:bootstrap:1.0.0#ChildPath#shape	urn:codex:bootstrap:1.0.0#ChildPath	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ChildRules	1973	2418	urn:codex:bootstrap:1.0.0#ChildRules#shape	urn:codex:bootstrap:1.0.0#ChildRules	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	0
ChildSatisfies	2419	2666	urn:codex:bootstrap:1.0.0#ChildSatisfies#shape	urn:codex:bootstrap:1.0.0#ChildSatisfies	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
CollectionAllowsDuplicates	2667	3129	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	0
CollectionAllowsEmpty	3130	3469	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
CollectionOrdering	3470	3833	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape	urn:codex:bootstrap:1.0.0#CollectionOrdering	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
CollectionRules	3834	4105	urn:codex:bootstrap:1.0.0#CollectionRules#shape	urn:codex:bootstrap:1.0.0#CollectionRules	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ConceptDefinition	4106	4658	urn:codex:bootstrap:1.0.0#ConceptDefinition#shape	urn:codex:bootstrap:1.0.0#ConceptDefinition	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	12	1
ConceptDefinitions	4659	4861	urn:codex:bootstrap:1.0.0#ConceptDefinitions#shape	urn:codex:bootstrap:1.0.0#ConceptDefinitions	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ConceptOption	4862	5071	urn:codex:bootstrap:1.0.0#ConceptOption#shape	urn:codex:bootstrap:1.0.0#ConceptOption	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ConditionalConstraint	5072	5319	urn:codex:bootstrap:1.0.0#ConditionalConstraint#shape	urn:codex:bootstrap:1.0.0#ConditionalConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
ConstraintDefinition	5320	5629	urn:codex:bootstrap:1.0.0#ConstraintDefinition#shape	urn:codex:bootstrap:1.0.0#ConstraintDefinition	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	0
ConstraintDefinitions	5630	5832	urn:codex:bootstrap:1.0.0#ConstraintDefinitions#shape	urn:codex:bootstrap:1.0.0#ConstraintDefinitions	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
ContentConstraint	5833	6397	urn:codex:bootstrap:1.0.0#ContentConstraint#shape	urn:codex:bootstrap:1.0.0#ContentConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	0
ContentPath	6398	6569	urn:codex:bootstrap:1.0.0#ContentPath#shape	urn:codex:bootstrap:1.0.0#ContentPath	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	2	0
ContentRules	6570	6871	urn:codex:bootstrap:1.0.0#ContentRules#shape	urn:codex:bootstrap:1.0.0#ContentRules	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	4	0
