req_id,spec_section,spec_lines,normative_text_summary,normative_keyword,representable_in_bootstrap_schema,schema_group,schema_lines,coverage_status,evidence,severity,notes,encodability_tier
REQ-0001,Codex Language Specification — Version 1.0.0 > 6. Identity > 6.2 Entity Identity > 6.2.1 The `id` Trait,1915,"Every Entity MUST have exactly one `id` trait. If an Entity lacks an `id` trait, Codex-conforming tools MUST reject that document with an `IdentityError` (§14).",MUST,yes,Schema,18352-19489,covered,spec line 1915; schema group Schema,P2,Entity id requirement covered: Schema shape has codex:isEntity=true and codex:declaredId minCount=1.,graph
REQ-0002,Codex Language Specification — Version 1.0.0 > 6. Identity > 6.2 Entity Identity > 6.2.1 The `id` Trait,1917,"Every non-Entity MUST NOT have an `id` trait. If a non-Entity declares an `id` trait, Codex-conforming tools MUST reject that document with an `IdentityError` (§14).",MUST NOT,yes,Schema,18352-19489,covered,spec line 1917; schema group Schema,P2,Non-entity id prohibition now consistent: codex:isEntity=true matches required codex:declaredId.,graph
REQ-0003,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface),2730,"To support a total, deterministic projection to derived validation artifacts, simplified-mode schema authoring MUST support the following extensions.",MUST,partial,Schema,18352-19489,partial,spec line 2730; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0004,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.1 Pattern Flags,2734,The following atomic constraints MUST support an optional `flags` trait whose value is text:,MUST,yes,Schema,18352-19489,covered,spec line 2734; schema group Schema,P3,Constraint appears in corresponding schema group.,graph
REQ-0005,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.1 Pattern Flags,2740,"If `flags` is omitted, it MUST be treated as empty text.",MUST,partial,Schema,18352-19489,partial,spec line 2740; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0006,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.1 Pattern Flags,2742,The `pattern` and `flags` semantics MUST be SPARQL 1.1 `REGEX` semantics.,MUST,partial,Schema,18352-19489,partial,spec line 2742; schema group Schema,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0007,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions,2746,Simplified Authoring Mode MUST support explicit validator definitions that make `ValueIsValid` deterministic.,MUST,partial,ValueIsValid,25221-25424,partial,spec line 2746; schema group ValueIsValid,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
REQ-0008,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions,2754,Each `ValidatorDefinition` MUST have these traits:,MUST,yes,ValidatorDefinition,24000-24303,covered,spec line 2754; schema group ValidatorDefinition,P3,Constraint appears in corresponding schema group.,graph
REQ-0009,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions,2760,`ValidatorDefinition` names MUST be unique within the Schema.,MUST,yes,ValidatorDefinition,24000-24303,covered,spec line 2760; schema group ValidatorDefinition,P3,ValidatorDefinition name uniqueness enforced via SPARQL constraint scoped to Schema level.,graph
REQ-0010,Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.5 Simplified Authoring Mode (Codex-Native Schema Authoring Surface) > 9.5.2 Explicit Validator Definitions,2762,Each `ValidatorDefinition` MUST be in content mode.,MUST,partial,ValidatorDefinition,24000-24303,partial,spec line 2762; schema group ValidatorDefinition,P3,Requirement is partly outside declarative shape constraints and needs runtime semantics.,runtime
