2640	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture	A conforming implementation MUST provide schema-directed validation.
2644	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture	Canonical Authoring Mode permits authors to write the canonical RDF representation directly. Simplified Authoring Mode permits authors to write a Codex-native surface form that has no independent semantics and exists only as a deterministic, lossless authoring convenience; documents written in Simplified Authoring Mode MUST expand to a byte-identical canonical RDF representation.
2646	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture	No other semantic layers, representations, or interpretive stages exist in Codex, and implementations MUST treat the canonical RDF representation as the sole source of truth.
2650	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.1 Scope and Inputs	Given the same required inputs, a conforming implementation MUST produce the same validation and canonicalization results.
2659	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.1 Scope and Inputs	Other external inputs—including environment state, configuration, registries, network access, clocks, or randomness—MUST NOT influence processing.
2661	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.1 Scope and Inputs	If any required input is missing, schema-directed processing MUST fail with a `SchemaError` (§14).
2663	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.1 Scope and Inputs	Given a Codex document and a governing schema, a conforming implementation MUST dispatch validation according to that schema.
2667	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.2 Schema-Less Formatting / Well-Formedness Checks	Schema-less checks MUST be limited to rules that are explicitly defined by this specification as independent of schema semantics.
2677	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.2 Schema-Less Formatting / Well-Formedness Checks	Without a governing schema, an implementation MUST NOT:
2686	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.3 Schema-Required Semantic Validation	An implementation MUST NOT perform semantic validation without a governing schema.
2688	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.3 Schema-Required Semantic Validation	Given a governing schema, an implementation MUST perform semantic validation as defined by that schema.
2690	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.3 Schema-Required Semantic Validation	Schema-driven semantic validation MUST be traceable to the specific schema rule(s) applied.
2692	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.3 Schema-Required Semantic Validation	Schema-driven semantic validation MUST include evaluation of all schema-defined authorizations and constraints:
2706	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.4 Authoring Modes	A schema document MUST be validated under exactly one authoring mode.
2713	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.4 Authoring Modes	All conforming implementations MUST support both authoring modes.
2715	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.4 Authoring Modes	The schema document's root `Schema` concept MUST have an `authoringMode` trait.
2717	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.4 Authoring Modes	`authoringMode` MUST be exactly one of `$SimplifiedMode` or `$CanonicalMode`; any other value or a missing `authoringMode` trait is a `SchemaError` (§14).
2719	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.4 Authoring Modes	The following mode-specific constraints MUST hold:
2721	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.4 Authoring Modes	- Simplified mode schemas MUST contain exactly one `ConceptDefinitions` and MUST NOT contain `RdfGraph`.
2722	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.4 Authoring Modes	- Canonical mode schemas MUST contain exactly one `RdfGraph` and MUST NOT contain Codex-native schema-definition concepts (including `ConceptDefinitions`, `TraitDefinitions`, `EnumeratedValueSets`, `ConstraintDefinitions`, `ValueTypeDefinitions`, and `ValidatorDefinitions`).
2723	Codex Language Specification — Version 1.0.0 > 9. Schema-First Architecture > 9.4 Authoring Modes	- Simplified-mode expansion MUST generate the Canonical Representation as a canonical RDF graph; different simplified spellings that are semantically identical MUST expand to byte-identical canonical RDF graphs.
