group	node_shape	property_subject	property_kind	path	class	datatype	node	node_kind	min_count	max_count	has_value	min_length	max_length	min_inclusive	max_inclusive	pattern	flags	in_values
AllOf	urn:codex:bootstrap:1.0.0#AllOf#shape	urn:codex:bootstrap:1.0.0#AllOf#shape/property/child/1f1ee75c20d9e8bf4a33feea2915f6b88f24b21e995c0860033130c785d4b9f2	child	urn:codex:bootstrap:1.0.0#AllOf#child/1f1ee75c20d9e8bf4a33feea2915f6b88f24b21e995c0860033130c785d4b9f2	urn:codex:bootstrap:1.0.0#Rule				2									
AllOf	urn:codex:bootstrap:1.0.0#AllOf#shape	urn:codex:bootstrap:1.0.0#AllOf#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
AllOf	urn:codex:bootstrap:1.0.0#AllOf#shape	urn:codex:bootstrap:1.0.0#AllOf#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
AllowedValues	urn:codex:bootstrap:1.0.0#AllowedValues#shape	urn:codex:bootstrap:1.0.0#AllowedValues#shape/property/child/7ce202e472a1935c760c7fe8ff8734a7e6e6340dd9bc5c13d74d500079448e78	child	urn:codex:bootstrap:1.0.0#AllowedValues#child/7ce202e472a1935c760c7fe8ff8734a7e6e6340dd9bc5c13d74d500079448e78	urn:codex:bootstrap:1.0.0#EnumeratedConstraint					1								
AllowedValues	urn:codex:bootstrap:1.0.0#AllowedValues#shape	urn:codex:bootstrap:1.0.0#AllowedValues#shape/property/child/faa69cca183e34ba59b9f8e5764cc6992bf00f9619855a10ab03a6737430e7db	child	urn:codex:bootstrap:1.0.0#AllowedValues#child/faa69cca183e34ba59b9f8e5764cc6992bf00f9619855a10ab03a6737430e7db	urn:codex:bootstrap:1.0.0#ValueIsOneOf					1								
AllowedValues	urn:codex:bootstrap:1.0.0#AllowedValues#shape	urn:codex:bootstrap:1.0.0#AllowedValues#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
AllowedValues	urn:codex:bootstrap:1.0.0#AllowedValues#shape	urn:codex:bootstrap:1.0.0#AllowedValues#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
AllowsChildConcept	urn:codex:bootstrap:1.0.0#AllowsChildConcept#shape	urn:codex:bootstrap:1.0.0#AllowsChildConcept#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
AllowsChildConcept	urn:codex:bootstrap:1.0.0#AllowsChildConcept#shape	urn:codex:bootstrap:1.0.0#AllowsChildConcept#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
AllowsChildConcept	urn:codex:bootstrap:1.0.0#AllowsChildConcept#shape	urn:codex:bootstrap:1.0.0#AllowsChildConcept#shape/property/trait/1f6fa6f69d185e6086d04e7330361bf9001a3b8d0ce511171055dc34eb90c1c5	trait	urn:codex:bootstrap:1.0.0#min		http://www.w3.org/2001/XMLSchema#integer				1				0				
AllowsChildConcept	urn:codex:bootstrap:1.0.0#AllowsChildConcept#shape	urn:codex:bootstrap:1.0.0#AllowsChildConcept#shape/property/trait/9baf3a40312f39849f46dad1040f2f039f1cffa1238c41e9db675315cfad39b6	trait	urn:codex:bootstrap:1.0.0#max		http://www.w3.org/2001/XMLSchema#integer				1				1				
AllowsChildConcept	urn:codex:bootstrap:1.0.0#AllowsChildConcept#shape	urn:codex:bootstrap:1.0.0#AllowsChildConcept#shape/property/trait/f2ef0d70878dd6ee20538ab51f8bef94ca47ec3243addbf9c2aa764660fcd992	trait	urn:codex:bootstrap:1.0.0#conceptSelector		urn:cdx:value-type:ConceptName			1	1								
AllowsContent	urn:codex:bootstrap:1.0.0#AllowsContent#shape	urn:codex:bootstrap:1.0.0#AllowsContent#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
AllowsContent	urn:codex:bootstrap:1.0.0#AllowsContent#shape	urn:codex:bootstrap:1.0.0#AllowsContent#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
AllowsContent	urn:codex:bootstrap:1.0.0#AllowsContent#shape	urn:codex:bootstrap:1.0.0#AllowsContent#shape/property/trait/135999c7c16267d31cf2a282fba5da9e95481c7782a03a2c32e3f6273f9a0a78	trait	urn:codex:bootstrap:1.0.0#whitespaceMode					1	1								$Flow | $Preformatted
AllowsTrait	urn:codex:bootstrap:1.0.0#AllowsTrait#shape	urn:codex:bootstrap:1.0.0#AllowsTrait#shape/property/child/0bd62a15e6910a4096a63e5b01ba0456f59ed50a4c727662f3ddb1e2117380a7	child	urn:codex:bootstrap:1.0.0#AllowsTrait#child/0bd62a15e6910a4096a63e5b01ba0456f59ed50a4c727662f3ddb1e2117380a7	urn:codex:bootstrap:1.0.0#AllowedValues													
AllowsTrait	urn:codex:bootstrap:1.0.0#AllowsTrait#shape	urn:codex:bootstrap:1.0.0#AllowsTrait#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
AllowsTrait	urn:codex:bootstrap:1.0.0#AllowsTrait#shape	urn:codex:bootstrap:1.0.0#AllowsTrait#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
AllowsTrait	urn:codex:bootstrap:1.0.0#AllowsTrait#shape	urn:codex:bootstrap:1.0.0#AllowsTrait#shape/property/trait/82a3537ff0dbce7eec35d69edc3a189ee6f17d82f353a553f9aa96cb0be3ce89	trait	urn:codex:bootstrap:1.0.0#name		http://www.w3.org/2001/XMLSchema#string			1	1								
AnyOf	urn:codex:bootstrap:1.0.0#AnyOf#shape	urn:codex:bootstrap:1.0.0#AnyOf#shape/property/child/1f1ee75c20d9e8bf4a33feea2915f6b88f24b21e995c0860033130c785d4b9f2	child	urn:codex:bootstrap:1.0.0#AnyOf#child/1f1ee75c20d9e8bf4a33feea2915f6b88f24b21e995c0860033130c785d4b9f2	urn:codex:bootstrap:1.0.0#Rule				2									
AnyOf	urn:codex:bootstrap:1.0.0#AnyOf#shape	urn:codex:bootstrap:1.0.0#AnyOf#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
AnyOf	urn:codex:bootstrap:1.0.0#AnyOf#shape	urn:codex:bootstrap:1.0.0#AnyOf#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
ChildConstraint	urn:codex:bootstrap:1.0.0#ChildConstraint#shape	urn:codex:bootstrap:1.0.0#ChildConstraint#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
ChildConstraint	urn:codex:bootstrap:1.0.0#ChildConstraint#shape	urn:codex:bootstrap:1.0.0#ChildConstraint#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
ChildConstraint	urn:codex:bootstrap:1.0.0#ChildConstraint#shape	urn:codex:bootstrap:1.0.0#ChildConstraint#shape/property/trait/1303c06b0b014d0ce7b988ab173a13f31227d417058ff4bbe6f8c222b4ad913c	trait	urn:codex:bootstrap:1.0.0#type					1	1								$AllowsChildConcept | $ForbidsChildConcept | $RequiresChildConcept
ChildConstraint	urn:codex:bootstrap:1.0.0#ChildConstraint#shape	urn:codex:bootstrap:1.0.0#ChildConstraint#shape/property/trait/f2ef0d70878dd6ee20538ab51f8bef94ca47ec3243addbf9c2aa764660fcd992	trait	urn:codex:bootstrap:1.0.0#conceptSelector		urn:cdx:value-type:ConceptName			1	1								
ChildPath	urn:codex:bootstrap:1.0.0#ChildPath#shape	urn:codex:bootstrap:1.0.0#ChildPath#shape/property/predicate/28c6fdde3c613b7db5df17df3f19647f8ea857a00406bcd26b4ef46d5dc096c1	predicate	urn:codex:bootstrap:1.0.0#codex/isEntity		http://www.w3.org/2001/XMLSchema#boolean			1	1	false							
ChildPath	urn:codex:bootstrap:1.0.0#ChildPath#shape	urn:codex:bootstrap:1.0.0#ChildPath#shape/property/predicate/94b325d3b779e9462c3971acf10d3bff2691d4af8b34ac3c9d975c05a0434378	predicate	urn:codex:bootstrap:1.0.0#codex/parentNode				http://www.w3.org/ns/shacl#IRI	1	1								
ChildPath	urn:codex:bootstrap:1.0.0#ChildPath#shape	urn:codex:bootstrap:1.0.0#ChildPath#shape/property/trait/f2ef0d70878dd6ee20538ab51f8bef94ca47ec3243addbf9c2aa764660fcd992	trait	urn:codex:bootstrap:1.0.0#conceptSelector		urn:cdx:value-type:ConceptName			1	1								
