group	node_shape	operator	object	members
AllowedValues	urn:codex:bootstrap:1.0.0#AllowedValues#shape	xone	urn:codex:bootstrap:1.0.0#AllowedValues#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#AllowedValues#shape/xone/alt/7ce202e472a1935c760c7fe8ff8734a7e6e6340dd9bc5c13d74d500079448e78 | urn:codex:bootstrap:1.0.0#AllowedValues#shape/xone/alt/faa69cca183e34ba59b9f8e5764cc6992bf00f9619855a10ab03a6737430e7db
ChildRules	urn:codex:bootstrap:1.0.0#ChildRules#shape	or	urn:codex:bootstrap:1.0.0#ChildRules#shape/list/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/0	urn:codex:bootstrap:1.0.0#ChildRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0 | urn:codex:bootstrap:1.0.0#ChildRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1 | urn:codex:bootstrap:1.0.0#ChildRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/2 | urn:codex:bootstrap:1.0.0#ChildRules#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/3
CollectionAllowsDuplicates	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape	xone	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/xone/alt/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca | urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/xone/alt/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f
CollectionAllowsDuplicates	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape	or	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/list/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/0	urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0 | urn:codex:bootstrap:1.0.0#CollectionAllowsDuplicates#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1
CollectionAllowsEmpty	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape	xone	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape/xone/alt/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca | urn:codex:bootstrap:1.0.0#CollectionAllowsEmpty#shape/xone/alt/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f
CollectionOrdering	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape	xone	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#CollectionOrdering#shape/xone/alt/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca | urn:codex:bootstrap:1.0.0#CollectionOrdering#shape/xone/alt/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f
ContentConstraint	urn:codex:bootstrap:1.0.0#ContentConstraint#shape	xone	urn:codex:bootstrap:1.0.0#ContentConstraint#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#ContentConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/0 | urn:codex:bootstrap:1.0.0#ContentConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/1 | urn:codex:bootstrap:1.0.0#ContentConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/2
ContentRules	urn:codex:bootstrap:1.0.0#ContentRules#shape	xone	urn:codex:bootstrap:1.0.0#ContentRules#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#ContentRules#shape/xone/alt/81635085895e4ed3f209da7519bba02de25595258eef03e30fb3058e7d75b2dd | urn:codex:bootstrap:1.0.0#ContentRules#shape/xone/alt/17d213f4cc54fe7519d8e8dc27b30c533e9a0c9a10785db206ebbd565e39f666
ContextConstraint	urn:codex:bootstrap:1.0.0#ContextConstraint#shape	xone	urn:codex:bootstrap:1.0.0#ContextConstraint#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#ContextConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/0 | urn:codex:bootstrap:1.0.0#ContextConstraint#shape/xone/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/shape/1
Count	urn:codex:bootstrap:1.0.0#Count#shape	or	urn:codex:bootstrap:1.0.0#Count#shape/list/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/0	urn:codex:bootstrap:1.0.0#Count#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0 | urn:codex:bootstrap:1.0.0#Count#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1
EachMemberSatisfies	urn:codex:bootstrap:1.0.0#EachMemberSatisfies#shape	xone	urn:codex:bootstrap:1.0.0#EachMemberSatisfies#shape/list/ff2cd5be0c0f2b764740713cbcb7f23894b6cf398dd418cdbc7ce2fd56d2aca6/0	urn:codex:bootstrap:1.0.0#EachMemberSatisfies#shape/xone/alt/7a4d2bec1c9fe9bcb05a954301827fc84f30a936e475197c4f94e74a809885ca | urn:codex:bootstrap:1.0.0#EachMemberSatisfies#shape/xone/alt/579a817d41e8bc8ecef7624b9a0cea22e02f449466b60618910d0820629c299f
